CD_PREST,CD_PREST_VINC,CD_END,CD_END_VINC,ID_ORIGEM
2,164000604100,Residencial,Residencial,388109
4,164210005000,Comercial,Comercial,401585
1,164210004010,Comercial,Comercial,384464
1,164210005010,Comercial,Comercial,386416
1,164000661480,Comercial,Comercial,386949
2,164000661480,Residencial,Residencial,386950
1,164210000010,Comercial,Comercial,387604
1,164210008440,Comercial,Comercial,388499
1,164000845940,Comercial,Comercial,390001
2,164000845940,Residencial,Residencial,390002
2,164000664820,Residencial,Residencial,390169
4,164000664820,Comercial,Comercial,400466
1,164210008450,Comercial,Comercial,395231
1,164000682150,Comercial,Comercial,398569
2,164000682150,Residencial,Residencial,398570
1,164000600720,Comercial,Comercial,398545
2,164000600720,Residencial,Residencial,398549
1,164000709740,Comercial,Comercial,398555
2,164000709740,Residencial,Residencial,398557
1,164000682660,Comercial,Comercial,408508
2,164000682660,Residencial,Residencial,408509
1,164000665140,Comercial,Comercial,405780
2,164000665140,Residencial,Residencial,405782
1,164210005040,Comercial,Comercial,404444
1,164210005050,Comercial,Comercial,404532
1,164210005060,Comercial,Comercial,405224
1,164210005070,Comercial,Comercial,405229
1,164210008460,Comercial,Comercial,406897
